Confirmed Foreign National,Confirmed Indian National,Date,State/UnionTerritory,State/UnionTerritory (group),Time,% of death,%cured,%of confimed cases,%of cured,Confirmed,Cured,death%,Deaths,Sno
0,1,09-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,82
0,7,09-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.054863234,0,7,0,0,0,83
2,0,09-03-2020,Haryana,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,84
0,4,09-03-2020,Delhi,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,85
0,7,10-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.054863234,0,7,0,0,0,86
0,2,10-03-2020,Ladakh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,87
0,4,10-03-2020,Delhi,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,88
2,0,10-03-2020,Haryana,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,89
0,4,10-03-2020,Karnataka,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,90
0,15,10-03-2020,Kerala,Other,6:00 PM,0,20,0.117564072,20,15,3,0,0,91
0,5,10-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.039188024,0,5,0,0,0,92
0,1,10-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,93
14,1,10-03-2020,Rajasthan,Other,6:00 PM,0,0,0.117564072,0,15,0,0,0,94
0,1,10-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,95
0,1,10-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,96
0,1,10-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,97
0,2,11-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.015675210,0,2,0,0,0,98
0,5,11-03-2020,Delhi,Other,6:00 PM,0,0,0.039188024,0,5,0,0,0,99
14,0,11-03-2020,Haryana,Other,6:00 PM,0,0,0.109726468,0,14,0,0,0,100
0,17,11-03-2020,Kerala,Other,6:00 PM,0,17.647058824,0.133239282,17.647058824,17,3,0,0,101
2,1,11-03-2020,Rajasthan,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,102
0,1,11-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,103
0,9,11-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.070538443,0,9,0,0,0,104
0,2,11-03-2020,Ladakh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,105
0,1,11-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,106
0,1,11-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,107
0,1,11-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,108
0,4,11-03-2020,Karnataka,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,109
0,6,12-03-2020,Delhi,Other,6:00 PM,0,0,0.047025629,0,6,0,0,0,110
14,0,12-03-2020,Haryana,Other,6:00 PM,0,0,0.109726468,0,14,0,0,0,111
0,17,12-03-2020,Kerala,Other,6:00 PM,0,17.647058824,0.133239282,17.647058824,17,3,0,0,112
2,1,12-03-2020,Rajasthan,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,113
0,1,12-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,114
1,10,12-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.086213653,0,11,0,0,0,115
0,3,12-03-2020,Ladakh,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,116
0,1,12-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,117
0,1,12-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,118
0,1,12-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,119
0,4,12-03-2020,Karnataka,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,120
0,11,12-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.086213653,0,11,0,0,0,121
0,1,12-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,122
0,6,13-03-2020,Delhi,Other,6:00 PM,0,0,0.047025629,0,6,0,0,0,123
14,0,13-03-2020,Haryana,Other,6:00 PM,0,0,0.109726468,0,14,0,0,0,124
0,19,13-03-2020,Kerala,Other,6:00 PM,0,15.789473684,0.148914492,15.789473684,19,3,0,0,125
2,1,13-03-2020,Rajasthan,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,126
0,1,13-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,127
1,10,13-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.086213653,0,11,0,0,0,128
0,3,13-03-2020,Ladakh,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,129
0,1,13-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,130
0,1,13-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,131
0,1,13-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,132
0,6,13-03-2020,Karnataka,Other,6:00 PM,16.666666667,0,0.047025629,0,6,0,16.666666667,1,133
0,14,13-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.109726468,0,14,0,0,0,134
0,1,13-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,135
0,7,14-03-2020,Delhi,Other,6:00 PM,14.285714286,14.285714286,0.054863234,14.285714286,7,1,14.285714286,1,136
14,0,14-03-2020,Haryana,Other,6:00 PM,0,0,0.109726468,0,14,0,0,0,137
0,19,14-03-2020,Kerala,Other,6:00 PM,0,15.789473684,0.148914492,15.789473684,19,3,0,0,138
2,1,14-03-2020,Rajasthan,Other,6:00 PM,0,33.333333333,0.023512814,33.333333333,3,1,0,0,139
0,1,14-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,140
1,11,14-03-2020,Uttar Pradesh,Other,6:00 PM,0,41.666666667,0.094051258,41.666666667,12,5,0,0,141
0,3,14-03-2020,Ladakh,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,142
0,1,14-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,143
0,2,14-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,144
0,1,14-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,145
0,6,14-03-2020,Karnataka,Other,6:00 PM,16.666666667,0,0.047025629,0,6,0,16.666666667,1,146
0,14,14-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.109726468,0,14,0,0,0,147
0,1,14-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,148
